1001, 16 0.281 1 14 15 12 0 2.;
1003, 20 0.474 1 12 6 2 0 6.;
2001, 16 0.281 1 14 15 12 0 2.;
2003, 20 0.474 1 12 6 2 0 6.;
1000, 19 2000. 0 9 6 2;
2000, 19 2000. 1 9 6 2;
1002, 12 0.3 1 12 13 8 0 7.;
2002, 12 0.3 1 12 13 8 0 7.;
1004, 19 0.3 1 12 8 7 0 0.;
2004, 19 0.3 1 12 8 7 0 0.;
3002, 12 0.3 1 12 13 8 0 7.;
3001, 16 0.281 1 14 15 12 0 2.;
3003, 20 0.474 1 12 6 2 0 6.;
3004, 19 0.3 1 12 8 7 0 0.;
4002, 12 0.3 1 12 13 8 0 7.;
4001, 16 0.281 1 14 15 12 0 2.;
4003, 20 0.474 1 12 6 2 0 6.;
4004, 19 0.3 1 12 8 7 0 0.;
5002, 6 0.776458 1 12 13 11 0 7.;
5001, 2 0.882917 1 5 12 3 0 8.;
5003, -29 0.67 1 12 6 2 0 6.;
5004, 16 0.03125 1 12 6 2 0 0.;
6002, 6 0.31 1 12 13 11 0 7.;
6001, 11 0.244167 1 14 15 12 0 2.;
6003, 15 0.48 1 12 6 2 0 6.;
6004, 16 0.025 1 12 6 2 0 0.;
7002, 12 0.3 1 12 13 8 0 7.;
7001, 16 0.281 1 14 15 12 0 2.;
7003, 20 0.474 1 12 6 2 0 6.;
7004, 19 0.3 1 12 8 7 0 0.;
8002, 25 0.67 1 12 13 8 0 6.;
8001, 23 1.202292 1 14 15 12 0 11.;
8003, 32 0.03125 1 12 6 2 0 0.;
8004, 17 0.67 1 12 8 7 0 6.;
9002, 33 0.67 1 12 4 8 0 6.;
9001, 23 1.174 1 14 15 12 0 11.;
9003, 41 1.1 1 12 6 2 0 0.;
9004, 25 0.6578 1 12 8 7 0 6.;
10002, 33 0.67 1 12 4 8 0 6.;
10001, 23 1.174 1 14 15 12 0 11.;
10003, 41 1.1 1 12 6 2 0 0.;
10004, 25 0.6578 1 12 8 7 0 6.;
11002, 33 0.2 0 12 4 8 0 6.;
11001, 23 1.1736 0 14 15 12 0 11.;
11003, 41 1.085 0 12 6 2 0 0.;
11004, 25 0.646 0 12 8 7 0 6.;
12002, 33 0.2 0 12 4 8 0 6.;
12001, 23 0.0124 1 14 15 12 0 11.;
12003, 41 1.085 0 12 6 2 0 0.;
12004, 25 0.646 1 12 8 7 0 6.;
3005, 17 3.757292 1 12 6 13 0 35.;
3008, 13 2.479792 1 12 6 2 0 23.;
3006, 12 3.012083 1 29 19 6 0 28.;
3007, 18 4.076667 1 13 10 5 0 38.;
1005, 17 3.757292 1 12 6 13 0 35.;
1008, 13 2.479792 1 12 6 2 0 23.;
1006, 12 3.012083 1 29 19 6 0 28.;
1007, 18 4.076667 1 13 10 5 0 38.;
2005, 17 3.757292 1 12 6 13 0 35.;
2008, 13 2.479792 1 12 6 2 0 23.;
2006, 12 3.012083 1 29 19 6 0 28.;
2007, 18 4.076667 1 13 10 5 0 38.;
4005, 17 3.757292 1 12 6 13 0 35.;
4008, 13 2.479792 1 12 6 2 0 23.;
4006, 12 3.012083 1 29 19 6 0 28.;
4007, 18 4.076667 1 13 10 5 0 38.;
5005, 20 0.6 1 12 6 5 0 150.;
5008, 23 0.039 1 15 6 4 0 0.;
5006, 9 0.0337 1 12 6 2 0 0.;
5007, 17 0.102 1 9 10 6 0 8.;
6005, 20 0.6 0 12 6 5 0 150.;
6008, 23 0.039 0 15 6 4 0 0.;
6006, 9 0.0337 1 12 6 2 0 0.;
6007, 17 0.102 1 9 10 6 0 8.;
8005, 20 0.6 1 12 6 5 0 150.;
8008, 23 0.039 1 15 6 4 0 0.;
8006, 9 0.0337 0 12 6 2 0 0.;
8007, 17 0.102 0 9 10 6 0 8.;
10005, 20 0.6 0 12 6 5 0 150.;
10008, 23 0.039 0 15 6 4 0 0.;
10006, 9 0.0337 1 12 6 2 0 0.;
10007, 17 0.102 1 9 10 6 0 8.;
